"","date","Address","pcode","County","cost","market","vat","des"
"47","04/01/2017","APT 2, 1 LOWER HATCH ST, DUBLIN 2","Dublin 2","Dublin","1,200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"48","04/01/2017","HERBERT LANE MEWS, HERBERT LANE, REAR 66 LOWER BAGGOT ST DUBLIN 2","Dublin 2","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"50","05/01/2017","11 STOCKINGWELL ROW, STOCKING AVE, RATHFARNHAM DUBLIN 16","Dublin 16","Dublin","249,000.00","No","No","Second-Hand Dwelling house /Apartment"
"51","05/01/2017","12 LIBERTY COURT, LR CLANBRASSIL ST, DUBLIN 8","Dublin 8","Dublin","191,000.00","No","No","Second-Hand Dwelling house /Apartment"
"53","05/01/2017","12 MOUNT EAGLE DR, LEOPARDSTOWN HEIGHTS, SANDYFORD DUBLIN 18","Dublin 18","Dublin","440,000.00","No","No","Second-Hand Dwelling house /Apartment"
"54","05/01/2017","123 KILLALA  ROAD, CABRA, DUBLIN 7","Dublin 7","Dublin","170,000.00","No","No","Second-Hand Dwelling house /Apartment"
"56","05/01/2017","13 ALLENDALE ELMS, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","214,000.00","No","No","Second-Hand Dwelling house /Apartment"
"57","05/01/2017","13 THE RISE, GLASNEVIN, DUBLIN 9","Dublin 9","Dublin","560,000.00","No","No","Second-Hand Dwelling house /Apartment"
"59","05/01/2017","2 SYCAMORE HOUSE, EATON WOOD SQ, SHANKILL","Dublin 18","Dublin","170,000.00","No","No","Second-Hand Dwelling house /Apartment"
"60","05/01/2017","2 THE CRESCENT, GRIFFITH DOWNS, DRUMCONDRA DUBLIN 9","Dublin 9","Dublin","575,000.00","No","No","Second-Hand Dwelling house /Apartment"
"61","05/01/2017","28 MAXWELL ST, THE COOMBE, DUBLIN 8","Dublin 8","Dublin","184,500.00","No","No","Second-Hand Dwelling house /Apartment"
"62","05/01/2017","3 Dodderbrook Park, OLDCOURT ROAD, BALLYCULLEN","Dublin 24","Dublin","307,885.46","No","Yes","New Dwelling house /Apartment"
"64","05/01/2017","30 Abbot's Grove, Knocklyon, Dublin 16","Dublin 16","Dublin","394,000.00","No","Yes","New Dwelling house /Apartment"
"65","05/01/2017","30DEANSTOWN PARK, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","180,000.00","No","No","Second-Hand Dwelling house /Apartment"
"67","05/01/2017","35 FORBES QUAY, SIR GEORGE ROGERSONS QUAY, GRAND CANAL SQ","Dublin 2","Dublin","453,000.00","No","No","Second-Hand Dwelling house /Apartment"
"68","05/01/2017","369 The Oak, Trimbleston, Goatstown Road","Dublin 14","Dublin","352,423.00","No","Yes","New Dwelling house /Apartment"
"69","05/01/2017","49 THE PARKLANDS, CASTLESIDE DR, DUBLIN 14","Dublin 14","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"70","05/01/2017","50 DOLLYMOUNT AVENUE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"71","05/01/2017","64A SOUTH HILL, DARTRY, DUBLIN 6","Dublin 6","Dublin","1,050,000.00","No","No","Second-Hand Dwelling house /Apartment"
"73","05/01/2017","8 Dodderbrook Park, Ballycullen","Dublin 24","Dublin","285,859.03","No","Yes","New Dwelling house /Apartment"
"74","05/01/2017","81 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14","Dublin 14","Dublin","466,000.00","No","No","Second-Hand Dwelling house /Apartment"
"75","05/01/2017","89 GLEANN NA RI, VALLEY AVE, CABINTEELY DUBLIN 18","Dublin 18","Dublin","243,000.00","No","No","Second-Hand Dwelling house /Apartment"
"76","05/01/2017","9 KNOCKLYON CLOSE, KNOCKLYON WOODS, DUBLIN 16","Dublin 16","Dublin","456,000.00","No","No","Second-Hand Dwelling house /Apartment"
"77","05/01/2017","APT 1, BLK 6 CLARION QUAY APTS, EXCISE WALK DUBLIN 1","Dublin 1","Dublin","345,000.00","No","No","Second-Hand Dwelling house /Apartment"
"78","05/01/2017","APT 6 BELLGREE HALL, OFF BELLGREE RISE, TYRRELSTOWN DUBLIN 15","Dublin 15","Dublin","165,000.00","No","No","Second-Hand Dwelling house /Apartment"
"79","05/01/2017","APT 8, KELSTON HALL, LEOPARDSTOWN RD DUBLIN 18","Dublin 18","Dublin","392,000.00","No","No","Second-Hand Dwelling house /Apartment"
"80","05/01/2017","No. 5, St Davids Court, Artane","Dublin 5","Dublin","444,933.92","No","Yes","New Dwelling house /Apartment"
"81","05/01/2017","RENRAW, 39 WARNERS LANE, DUBLIN 6","Dublin 6","Dublin","990,000.00","No","No","Second-Hand Dwelling house /Apartment"
"83","06/01/2017","1 GULLISTAN TERRACE, RATHMINES, DUBLIN 6","Dublin 6","Dublin","905,000.00","No","No","Second-Hand Dwelling house /Apartment"
"85","06/01/2017","104 BELLGREE BLVD, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","214,000.00","No","No","Second-Hand Dwelling house /Apartment"
"86","06/01/2017","10A MOATFIELD RD, COOLOCK, DUBLIN 5","Dublin 5","Dublin","285,000.00","No","No","Second-Hand Dwelling house /Apartment"
"88","06/01/2017","117 KNOCKMAREE, ST LAWRENCE RD, CHAPELIZOD DUBLIN 20","Dublin 20","Dublin","237,000.00","No","No","Second-Hand Dwelling house /Apartment"
"89","06/01/2017","118 PORTERSFIELD, CLONSILLA RD, DUBLIN 15","Dublin 15","Dublin","292,500.00","No","No","Second-Hand Dwelling house /Apartment"
"90","06/01/2017","12 KILAKEE CLOSE, GREEN HILLS RD, DUBLIN 12","Dublin 12","Dublin","330,000.00","No","No","Second-Hand Dwelling house /Apartment"
"91","06/01/2017","120 MERRION RD, DUBLIN 4, DUBLIN","Dublin 4","Dublin","2,325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"92","06/01/2017","121 DUNMORE LAWN, BALLYMOUNT, DUBLIN 24","Dublin 24","Dublin","301,000.00","No","No","Second-Hand Dwelling house /Apartment"
"93","06/01/2017","13 BAYVIEW AVE, NORTH STRAND, DUBLIN 3","Dublin 3","Dublin","235,000.00","No","No","Second-Hand Dwelling house /Apartment"
"94","06/01/2017","140 CARRIGMORE CRESCENT, CITYWEST WEST, SAGGART","Dublin 24","Dublin","163,000.00","No","No","Second-Hand Dwelling house /Apartment"
"96","06/01/2017","19A WHEATFIELD CRESENT, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","136,000.00","No","No","Second-Hand Dwelling house /Apartment"
"98","06/01/2017","22 BERTRAM COURT, CHRISTCHURCH, DUBLIN 8","Dublin 15","Dublin","240,000.00","No","No","Second-Hand Dwelling house /Apartment"
"102","06/01/2017","29 AUBURN ST, BROADSTONE, PHIBSBORO","Dublin 7","Dublin","346,000.00","No","No","Second-Hand Dwelling house /Apartment"
"103","06/01/2017","29 GLENGARRIFFE PARADE, NORTH CIRCULAR RD, DUBLIN 7","Dublin 7","Dublin","335,000.00","No","No","Second-Hand Dwelling house /Apartment"
"104","06/01/2017","305C THE CRESCENT, BELGARD HEIGHTS, DUBLIN 24","Dublin 24","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"105","06/01/2017","32 OAKLANDS TERRACE, RATHGAR, DUBLIN 6","Dublin 6","Dublin","647,000.00","No","No","Second-Hand Dwelling house /Apartment"
"106","06/01/2017","32 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"107","06/01/2017","34 CLANAWLEY RD, KILLESTER, DUBLIN 5","Dublin 5","Dublin","315,000.00","No","No","Second-Hand Dwelling house /Apartment"
"108","06/01/2017","36 CASTLELAWNS, SANDYFORD DUBLIN 18, DUBLIN","Dublin 18","Dublin","282,000.00","No","No","Second-Hand Dwelling house /Apartment"
"109","06/01/2017","47 CALEDON RD, EAST WALL, DUBLIN 3","Dublin 3","Dublin","240,000.00","No","No","Second-Hand Dwelling house /Apartment"
"111","06/01/2017","50 diswellstown way, castleknock, dublin 15","Dublin 15","Dublin","405,286.00","No","Yes","New Dwelling house /Apartment"
"112","06/01/2017","56 CRUMLIN RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","357,692.50","No","No","Second-Hand Dwelling house /Apartment"
"113","06/01/2017","59 SUTTON PARK, SUTTON, DUBLIN 13","Dublin 13","Dublin","565,000.00","No","No","Second-Hand Dwelling house /Apartment"
"114","06/01/2017","6 Elder Heath Meadow, Kiltipper, Tallaght","Dublin 24","Dublin","251,102.00","No","Yes","New Dwelling house /Apartment"
"115","06/01/2017","63 LEVMOSS AVENUE, LEVMOSS PARK, THE GALLOPS","Dublin 18","Dublin","405,286.00","No","Yes","New Dwelling house /Apartment"
"116","06/01/2017","69 PECKS LANE, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"117","06/01/2017","74 ELMCASTLE PARK, KILNAMANAGH, DUBLIN 24","Dublin 24","Dublin","190,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"118","06/01/2017","8 CASTLEFIELD ORCHARD, CASTELFIELD MANOR, DUBLIN 16","Dublin 16","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"119","06/01/2017","91 FITZROY AVE, DRUMCONDRA, DUBLIN 3","Dublin 3","Dublin","290,000.00","No","No","Second-Hand Dwelling house /Apartment"
"120","06/01/2017","97 SHANTALLA RD, WHITEHALL, DUBLIN 9","Dublin 9","Dublin","335,000.00","No","No","Second-Hand Dwelling house /Apartment"
"121","06/01/2017","APT 37, ST PATRICKS COURT, CLANBRASSIL ST DUBLIN 8","Dublin 8","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"127","09/01/2017","17 BUNRATTY AVE, COOLOCK, DUBLIN 17","Dublin 17","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"129","09/01/2017","2 ORBY DR, THE GALLOPS, LEOPARDSTOWN DUBLIN 18","Dublin 18","Dublin","580,000.00","No","No","Second-Hand Dwelling house /Apartment"
"131","09/01/2017","366 CASHEL RD, KIMMAGE, DUBLIN 12","Dublin 12","Dublin","182,000.00","No","No","Second-Hand Dwelling house /Apartment"
"132","09/01/2017","4 KINGSTON HALL, HAROLDS RD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","290,000.00","No","No","Second-Hand Dwelling house /Apartment"
"134","09/01/2017","49 PROSPECT AVE, RATHFARNHAM, DUBLIN 16","Dublin 16","Dublin","460,000.00","No","No","Second-Hand Dwelling house /Apartment"
"136","09/01/2017","53 THE PARK, HOLLYSTOWN, DUBLIN 15","Dublin 15","Dublin","390,000.00","No","No","Second-Hand Dwelling house /Apartment"
"138","09/01/2017","61 MAPLEWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24","Dublin 24","Dublin","188,500.00","No","No","Second-Hand Dwelling house /Apartment"
"139","09/01/2017","7 CASTLEKNOCK BROOK, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","310,000.00","No","No","Second-Hand Dwelling house /Apartment"
"141","09/01/2017","71 BEAUMONT RD, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","405,000.00","No","No","Second-Hand Dwelling house /Apartment"
"142","09/01/2017","79 COLLINS AVE, DUBLIN 9, DUBLIN","Dublin 9","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"143","09/01/2017","82 PORTMARNOCK DRIVE, PORTMARNOCK, CO DUBLIN","Dublin 13","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"145","09/01/2017","99 FERNLEIGH DR, RIVERWOOD, CASTLEKNOCK DUBLIN 15","Dublin 15","Dublin","160,000.00","No","No","Second-Hand Dwelling house /Apartment"
"146","09/01/2017","APT 8, ROEBUCK LAWN, CLONSKEAGH DUBLIN 14","Dublin 14","Dublin","282,000.00","No","No","Second-Hand Dwelling house /Apartment"
"147","09/01/2017","CRANMER LODGE, 26A CRANMER LANE, BALLSBRIDGE DUBLIN 4","Dublin 4","Dublin","650,000.00","No","No","Second-Hand Dwelling house /Apartment"
"148","09/01/2017","HILLSIDE, WESTMINSTER RD, DUBLIN 18","Dublin 18","Dublin","1,800,000.00","No","No","Second-Hand Dwelling house /Apartment"
"152","10/01/2017","12 PARK VILLAS, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","545,000.00","No","No","Second-Hand Dwelling house /Apartment"
"153","10/01/2017","137 KEEPER RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"154","10/01/2017","13A OLDCOURT RD, FIRHOUSE, DUBLIN 24","Dublin 24","Dublin","248,050.00","No","No","Second-Hand Dwelling house /Apartment"
"155","10/01/2017","17 BROOK VALE, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","680,000.00","No","No","Second-Hand Dwelling house /Apartment"
"156","10/01/2017","17 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","530,000.00","No","No","Second-Hand Dwelling house /Apartment"
"157","10/01/2017","17 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","500,000.00","No","No","Second-Hand Dwelling house /Apartment"
"158","10/01/2017","19 CAMERON SQUARE, KILMAINHAM, DUBLIN 8","Dublin 8","Dublin","240,000.00","No","No","Second-Hand Dwelling house /Apartment"
"161","10/01/2017","25 LANESBOROUGH VIEW, CHARLESTOWN, FINGLAS DUBLIN 11","Dublin 11","Dublin","243,000.00","No","No","Second-Hand Dwelling house /Apartment"
"162","10/01/2017","25 SEAFIELD RD, THE GABLES, DUBLIN 3","Dublin 3","Dublin","1,300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"164","10/01/2017","266 SUNDRIVE RD, DUBLIN 12, DUBLIN","Dublin 12","Dublin","340,000.00","No","No","Second-Hand Dwelling house /Apartment"
"165","10/01/2017","266 WYCKHAM POINT, DUNDRUM, DUBLIN 14","Dublin 16","Dublin","341,000.00","No","No","Second-Hand Dwelling house /Apartment"
"167","10/01/2017","29 RIVERWOOD CHASE, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","360,000.00","No","No","Second-Hand Dwelling house /Apartment"
"168","10/01/2017","3 THORNFIELD SQ, WATERY LANE, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","140,000.00","No","No","Second-Hand Dwelling house /Apartment"
"169","10/01/2017","337 The Oak, Trimbleston, Goatstown Road","Dublin 14","Dublin","484,581.49","No","Yes","New Dwelling house /Apartment"
"170","10/01/2017","34 MERRION STRAND, STRAND RD, SANDYMOUNT","Dublin 4","Dublin","436,000.00","No","No","Second-Hand Dwelling house /Apartment"
"171","10/01/2017","35 EMMORVILLE AVE, SOUTH CIRCULAR RD, DUBLIN 8","Dublin 8","Dublin","675,000.00","No","No","Second-Hand Dwelling house /Apartment"
"172","10/01/2017","4 OLD RECTORY PARK, TANEY RD, DUNDRUM DUBLIN 14","Dublin 14","Dublin","544,500.00","No","No","Second-Hand Dwelling house /Apartment"
"174","10/01/2017","47 CLAREMONT CRESCENT, GLASNEVIN, DUBLIN 9","Dublin 11","Dublin","372,500.00","No","No","Second-Hand Dwelling house /Apartment"
"175","10/01/2017","53 MARGUERITE ROAD, GLASNEVIN, DUBLIN 9","Dublin 9","Dublin","600,000.00","No","No","Second-Hand Dwelling house /Apartment"
"177","10/01/2017","6 KILLANE RD, EAST WALL, DUBLIN 3","Dublin 3","Dublin","265,000.00","No","No","Second-Hand Dwelling house /Apartment"
"179","10/01/2017","77 BEALING BLVD, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","235,000.00","No","No","Second-Hand Dwelling house /Apartment"
"180","10/01/2017","86 CRANFORD COURT, STILLORGAN RD, DUBLIN 4","Dublin 4","Dublin","225,000.00","No","No","Second-Hand Dwelling house /Apartment"
"183","10/01/2017","96 ST DONAGHS RD, DONAGHMEDE, DUBLIN 13","Dublin 13","Dublin","285,000.00","No","No","Second-Hand Dwelling house /Apartment"
"185","10/01/2017","APT 217 THE RICHMOND NORTH ST, BRUNSWICK, DUBLIN","Dublin 15","Dublin","167,000.00","No","No","Second-Hand Dwelling house /Apartment"
"186","10/01/2017","APT 3, WYCKHAM POINT, DUNDRUM DUBLIN 16","Dublin 16","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"188","11/01/2017","101 OLCOVAR, SHANKILL, DUBLIN","Dublin 18","Dublin","255,000.00","No","No","Second-Hand Dwelling house /Apartment"
"190","11/01/2017","118 VERNON AVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","625,000.00","No","No","Second-Hand Dwelling house /Apartment"
"192","11/01/2017","14 Churchfield, 59/60 Clontarf Road, Dublin 3","Dublin 3","Dublin","550,660.80","No","Yes","New Dwelling house /Apartment"
"197","11/01/2017","18 FORTFIELD TERRACE, RATHMINES, DUBLIN 6","Dublin 6","Dublin","1,155,000.00","No","No","Second-Hand Dwelling house /Apartment"
"198","11/01/2017","20 DONORE AVE, CIRCULAR RD SOUTH, DUBLIN 8","Dublin 8","Dublin","190,000.00","No","No","Second-Hand Dwelling house /Apartment"
"199","11/01/2017","205 WOODFIELD, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","435,000.00","No","No","Second-Hand Dwelling house /Apartment"
"203","11/01/2017","31 BARTON RD WEST, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","531,777.00","No","No","Second-Hand Dwelling house /Apartment"
"204","11/01/2017","31 RIVERWOOD COURT, CARPENTERSTOWN, DUBLIN","Dublin 15","Dublin","330,000.00","No","No","Second-Hand Dwelling house /Apartment"
"205","11/01/2017","32 PINEWOOD CRESCENT, GLASNEVIN, DUBLIN 2","Dublin 11","Dublin","435,000.00","No","No","Second-Hand Dwelling house /Apartment"
"206","11/01/2017","37 PRIORY WAY, MANOR GROVE, TERENURE DUBLIN 12","Dublin 12","Dublin","536,000.00","No","No","Second-Hand Dwelling house /Apartment"
"207","11/01/2017","42 TICKNOCK PARK, TICKNOCK HILL, SANDYFORD DUBLIN 18","Dublin 18","Dublin","270,000.00","No","No","Second-Hand Dwelling house /Apartment"
"208","11/01/2017","45 DUNMORE PARK, BALLYMOUNT, DUBLIN 24","Dublin 24","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"209","11/01/2017","46 THE GREEN, LARCH HILL, DUBLIN 17","Dublin 17","Dublin","155,000.00","No","No","Second-Hand Dwelling house /Apartment"
"210","11/01/2017","5 BLOCK 1, CLEARWATER COVE, OLD DUN LAOGHAIRE RD","Dublin 15","Dublin","208,000.00","No","No","Second-Hand Dwelling house /Apartment"
"213","11/01/2017","6 ROSEMOUNT, GLANDORE RD, DRUMCONDRA DUBLIN 9","Dublin 9","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"216","11/01/2017","8 Elder Heath Meadow, Elder Heath, Kiltipper Road","Dublin 24","Dublin","246,697.00","No","Yes","New Dwelling house /Apartment"
"221","11/01/2017","APT 3, 47 MAIN ST, CLONGRIFFIN","Dublin 13","Dublin","211,453.74","No","No","Second-Hand Dwelling house /Apartment"
"222","11/01/2017","APT 7 RADCLIFFE, DUBLIN RD, SUTTON DUBLIN 13","Dublin 13","Dublin","370,000.00","No","No","Second-Hand Dwelling house /Apartment"
"223","11/01/2017","APT 72 HARBOUR VIEW, DUN LAOGHAIRE, DUBLIN","Dublin 13","Dublin","405,000.00","No","No","Second-Hand Dwelling house /Apartment"
"224","11/01/2017","CNUCHA, COLLEGE RD, CASTLEKNOCK DUBLIN 15","Dublin 15","Dublin","1,400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"225","11/01/2017","COROFIN, TORQUAY RD, FOXROCK DUBLIN 18","Dublin 18","Dublin","1,055,000.00","No","No","Second-Hand Dwelling house /Apartment"
"226","11/01/2017","KILBRIDE HOUSE, BALDONNEL, DUBLIN","Dublin 22","Dublin","750,000.00","No","No","Second-Hand Dwelling house /Apartment"
"230","12/01/2017","10 71 CABRA RD, DUBLIN 2, DUBLIN","Dublin 15","Dublin","475,000.00","No","No","Second-Hand Dwelling house /Apartment"
"232","12/01/2017","123 NEW IRELAND RD, RIALTO, DUBLIN 8","Dublin 8","Dublin","359,000.00","No","No","Second-Hand Dwelling house /Apartment"
"234","12/01/2017","14 EDGEWOOD LAWN, BLANCHARDSTOWN, DUBLIN 15","Dublin 15","Dublin","227,000.00","No","No","Second-Hand Dwelling house /Apartment"
"235","12/01/2017","143 MILLRACE RD, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","298,000.00","No","No","Second-Hand Dwelling house /Apartment"
"236","12/01/2017","147 WINTER GARDEN, PEARSE ST, DUBLIN 2","Dublin 2","Dublin","550,000.00","No","No","Second-Hand Dwelling house /Apartment"
"237","12/01/2017","180 KILDARE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"239","12/01/2017","23 THE ATRIUM, FOLEY ST, DUBLIN 1","Dublin 1","Dublin","256,000.00","No","No","Second-Hand Dwelling house /Apartment"
"240","12/01/2017","25 ASH ST, THE LIBERTIES, DUBLIN 8","Dublin 8","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"241","12/01/2017","2B LUTTRELLPARK CRESCENT, CARPENTERSTOWN, CASTLEKNOCK DUBLIN 15","Dublin 15","Dublin","397,500.00","No","No","Second-Hand Dwelling house /Apartment"
"242","12/01/2017","3 BEECHFIELD COURT, CLONEE, DUBLIN 15","Dublin 15","Dublin","220,000.00","No","No","Second-Hand Dwelling house /Apartment"
"243","12/01/2017","3 OHARA AVE, HAROLDS CROSS, DUBLIN","Dublin 6","Dublin","427,500.00","No","No","Second-Hand Dwelling house /Apartment"
"244","12/01/2017","30 FORBES QUAY, SIR JOHN ROGERSONS QUAY, DUBLIN 2","Dublin 2","Dublin","345,000.00","No","No","Second-Hand Dwelling house /Apartment"
"245","12/01/2017","30 TRINITY PLAZA, PEARSE ST, DUBLIN 2","Dublin 2","Dublin","382,500.00","No","Yes","New Dwelling house /Apartment"
"247","12/01/2017","4 SHANDON GREEN, PHIBSBOROUGH, DUBLIN 7","Dublin 7","Dublin","333,000.00","No","No","Second-Hand Dwelling house /Apartment"
